sample_source,length,mehg
Wild,40,30.86710502
Wild,40.5,74.55622388
Wild,41,4.6
Wild,37,6.1
Wild,40,45
Wild,36.8,12.18999203
Wild,37.5,32.83417704
Wild,42,28.32
Wild,43.5,107.9906228
Wild,36,13.08303404
Wild,43.4,25.28001259
Wild,40,4.8
Wild,39.8,2.923146096
Wild,37.6,10.55118894
Wild,39.5,11.20529403
Wild,42.6,9.249128898
Wild,42.8,64.51468035
Wild,37,82.49401194
Wild,42.8,64.51468035
Wild,36.5,53.84205078
Wild,39.2,19.18115242
Wild,42.16666667,4.924137878
Wild,43.53333333,0.625646677
Farmed,40,7.971262498
Farmed,38.74,4.3
Farmed,36.6,3.84
Farmed,37.5,4.74
