sample_source,length,mehg
Wild,50,36.39117741
Wild,49.8,24.87091409
Wild,50,65.22949534
Wild,52.5,83.94144669
Wild,47.9,18.50893427
Wild,52.9,12.51912179
Wild,53.5,45.37839476
Wild,49.3,7.95614317
Wild,51.1,17.83792758
Wild,53,6.036705648
Wild,47.3,75.27617142
Wild,51.2,45.37839476
Wild,53,6.036705648
Wild,51.73333333,21.81369027
Wild,48.93333333,5.751187781
Wild,47.53333333,4.347354049
Wild,45.7,6.036705648
Wild,45.6,6.036705648
Farmed,50,10.3578685
Farmed,46.8,6.77
Farmed,49.85,13.29
Farmed,52.06,4.67
Farmed,52.39,5
Farmed,47.4,8.294
Farmed,45.5,6.5
Farmed,53,2.910892288
