Collection_year,Water_body,Sample_source,Seawater_freshwater,Seafood_type,Trophic_class,Wet_dry,Raw_cooked,log_mean_mehg
2007,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,2.018400832
2007,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,2.018400832
2007,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,2.025305865
2007,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,2.004321374
2007,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,2.235528447
2007,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.963787827
2007,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.954242509
2007,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,2.220108088
2005,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.8331
2011,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.331938407
2011,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.566483168
2011,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.872483904
2011,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.577807841
2011,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.290428721
2011,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.331938407
2011,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.566483168
2011,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.872483904
2011,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.577807841
2011,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.290428721
2011,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.331938407
2011,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.566483168
2011,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.872483904
2011,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.577807841
2011,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.290428721
2012,Lake,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.267381413
2012,Lake,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,0.824357523
2012,Lake,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,0.966100832
2012,Lake,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.234724089
2012,Lake,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.425632452
2012,Lake,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.525376096
2012,Lake,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.312369322
2012,Lake,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,0.966100832
2012,Lake,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.199552271
2012,Lake,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.312369322
2012,Lake,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.425632452
2012,Lake,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.507093335
2012,Lake,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.753419093
2006,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.740362689
2006,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.633468456
2006,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.230448921
2006,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.113943352
2006,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,0.84509804
2006,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,0.698970004
2009,Lake,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,0.785329835
2009,Lake,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.255272505
2009,Lake,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.041392685
2009,Lake,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.462397998
2009,Lake,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.322219295
2009,Lake,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.653212514
2009,Lake,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.086003422
2009,Lake,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,0.473076096
