Collection_year,Water_body,Sample_source,Seawater_freshwater,Seafood_type,Trophic_class,Wet_dry,Raw_cooked,log_mean_mehg
2007,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.097573864
2007,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.282874696
2007,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.8331
2007,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.599648561
2007,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.599648561
2007,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.097573864
2007,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.282874696
2007,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.8331
2007,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.599648561
2007,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.599648561
2005,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.7808
2005,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.824357523
2011,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.588858661
2011,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.654828456
2011,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.395691747
2011,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.588858661
2011,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.654828456
2011,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.395691747
2011,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.588858661
2011,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.654828456
2011,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.395691747
2006,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.204119983
2006,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.176091259
2006,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.176091259
2006,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.041392685
2006,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.477121255
2009,Lake,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.662757832
2009,Lake,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.69019608
2009,Lake,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.716003344
2009,Lake,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.146128036
2009,Lake,Farmed,Freshwater,Finfish,Omnivore,Wet,Raw,0.672097858
2009,Lake,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.322219295
2009,Lake,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.415875528
2009,Lake,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.956868031
2009,Lake,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.004085016
2009,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.240549248
2009,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.025305865
2009,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.240549248
2009,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.785329835
2009,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.875061263
2009,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.371067862
2011,Pond,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.934498451
2008,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.049423257
2008,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.824357523
2010,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.464026135
2010,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.678821593
2010,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.617796667
2010,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.464026135
2010,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.824357523
2010,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.678821593
2010,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.119871364
2010,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.199552271
2010,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.362047729
2010,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.362047729
2010,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.230574696
2010,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.362047729
2010,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.678821593
2010,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.617796667
2010,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.547348561
2010,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.678821593
2010,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.230574696
2010,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.045273864
2010,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.045273864
2010,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.230574696
2010,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.230574696
2010,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.362047729
2010,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.230574696
2010,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.230574696
2010,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.045273864
2010,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.045273864
2010,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.678821593
2010,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.617796667
2010,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.547348561
2010,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.362047729
2010,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.678821593
2010,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.678821593
2010,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.362047729
2010,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.362047729
2010,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.464026135
2010,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.617796667
2010,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.230574696
2010,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.362047729
2008,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.956504584
2008,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,2.002907549
2008,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,2.255493789
2008,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,2.244481013
2008,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,2.31492912
2008,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.996560112
2008,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.938719925
2008,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,2.375954046
2008,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.747945877
2008,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.76945611
2011,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.789999257
2011,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.650078515
2011,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.855397499
2011,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.823867199
2011,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.643206083
2011,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,2.099177245
2012,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.267381413
2012,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.824357523
2012,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.516326136
2012,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.199552271
2012,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.378718674
2012,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.402777286
2012,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.656849129
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.010299957
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.775974331
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.227886705
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.010299957
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.775974331
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.227886705
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.010299957
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.775974331
