Collection_year,Water_body,Sample_source,Seawater_freshwater,Seafood_type,Trophic_class,Wet_dry,Raw_cooked,log_mean_mehg
2008,River,Wild,Freshwater,Finfish,Herbivore,Wet,Raw,2.409523322
2015,River,Wild,Freshwater,Finfish,Herbivore,Wet,Raw,1.716317242
2015,River,Wild,Freshwater,Finfish,Herbivore,Wet,Raw,1.072204107
2012,Reservoir,Wild,Freshwater,Finfish,Herbivore,Wet,Raw,1.033929974
2012,Reservoir,Wild,Freshwater,Finfish,Herbivore,Wet,Raw,1.635525094
2012,Reservoir,Wild,Freshwater,Finfish,Herbivore,Wet,Raw,1.720721466
2011,River,Wild,Freshwater,Finfish,Herbivore,Wet,Raw,0.794308612
2011,River,Wild,Freshwater,Finfish,Herbivore,Wet,Raw,0.864122425
2011,River,Wild,Freshwater,Finfish,Herbivore,Wet,Raw,0.75735855
2011,River,Wild,Freshwater,Finfish,Herbivore,Wet,Raw,0.848629142
2014,River,Wild,Freshwater,Finfish,Herbivore,Wet,Raw,1.506066245
2017,Reservoir,Farmed,Freshwater,Finfish,Herbivore,Wet,Raw,0.553883027
2015,River,Farmed,Freshwater,Finfish,Herbivore,Wet,Raw,0.563456789
2012,River,Farmed,Freshwater,Finfish,Herbivore,Wet,Raw,1.256789012
2009,River,Farmed,Freshwater,Finfish,Herbivore,Wet,Raw,0.756789012
2013,Reservoir,Farmed,Freshwater,Finfish,Herbivore,Wet,Raw,0.963456789
2016,Reservoir,Farmed,Freshwater,Finfish,Herbivore,Wet,Raw,0.463456789
2009,Reservoir,Farmed,Freshwater,Finfish,Herbivore,Wet,Raw,0.363456789
2014,Lake,Farmed,Freshwater,Finfish,Herbivore,Wet,Raw,0.563456789
2017,Lake,Farmed,Freshwater,Finfish,Herbivore,Wet,Raw,1.156789012
2017,Lake,Farmed,Freshwater,Finfish,Herbivore,Wet,Raw,0.263456789
