Sample_source,Seawater_freshwater,Seafood_type,Trophic_class,Wet_dry,Raw_cooked,MeHg_mean_ppb
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,104.327988
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,104.327988
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,106
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,101
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,172
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,92
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,90
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,166
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,171.0788372
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,208.7764041
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,97.02206905
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,68.09261297
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,21.47525884
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,36.85387577
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,74.55622388
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,37.82751752
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,19.51770371
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,21.47525884
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,36.85387577
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,74.55622388
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,37.82751752
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,19.51770371
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,21.47525884
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,36.85387577
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,74.55622388
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,37.82751752
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,19.51770371
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,18.50893427
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,6.67355928
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,9.249128898
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,17.16817332
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,26.64602631
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,33.52556428
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,20.5290722
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,9.249128898
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,15.83260114
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,20.5290722
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,26.64602631
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,32.14351266
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,56.67859718
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,55
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,43
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,17
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,13
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,7
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,5
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,6.1
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,18
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,11
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,29
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,21
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,45
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,12.18999203
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,2.972186767
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,18.24038399
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,24.32597013
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,25.9
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,26.71441997
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,136.758321
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,64.9
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,15.16688136
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,65.22949534
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1785.320637
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,19.45037022
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,10.55118894
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,144.9300987
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,139.7271432
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,198.9397011
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,185.3597102
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,192.8982662
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,460.50387
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,157.6039997
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,83.21757291
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,81.77076626
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,62.8
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,60.1
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,100
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,105
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,91.6
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,45.5
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,12.51912179
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,20.5290722
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,21.20470422
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,30.07599932
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,31.45358512
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,55.96878468
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,7.95614317
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,58.81066762
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,79.96404801
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,22.55915369
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,28.32
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,44.8
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,108.02
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,152.27
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,25.88
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,16.75
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,23.57
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,24.4
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,72.99
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,17.17
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,7.16
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,6.77
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,28.32
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,44.8
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,108.02
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,152.27
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,25.88
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,16.75
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,23.57
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,24.4
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,72.99
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,17.17
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,7.16
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,6.77
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,28.32
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,44.8
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,108.02
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,152.27
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,25.88
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,16.75
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,23.57
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,24.4
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,72.99
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,17.17
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,7.16
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,6.77
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,28.32
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,44.8
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,108.02
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,152.27
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,25.88
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,16.75
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,23.57
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,24.4
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,72.99
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,17.17
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,7.16
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,6.77
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,62.8
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,60.1
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,105
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,45.5
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,57.3
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,15.37310212
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,27.70709614
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,126.2379025
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.504242311
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,61.73
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,36.86
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,28.61
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,28.61
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,125.44
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,27.53581712
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,37.82751752
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,54.76313236
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,32.21254618
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,51.22483537
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,42.4338855
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,63.72883843
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,78.30365625
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,29.59457707
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,35.81210595
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,46.92459609
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,55.40125637
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,46.92459609
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,33.45639341
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,83.1452027
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,70.02862156
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,24.32597013
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,35.04909517
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,42.01405324
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,35.95092254
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,44.74660683
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,44.32566066
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,78.01506997
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,61.30293954
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,24.39405523
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,36.78437843
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,43.76470832
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,51.36613966
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,51.79016826
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,41.45460141
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,78.5922954
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,62.58665631
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,31.52254431
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,39.4297663
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,45.65933015
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,45.30817439
