Sample_source,Seawater_freshwater,Seafood_type,Trophic_class,Wet_dry,Raw_cooked,MeHg_mean_ppb
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,12.51912179
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,19.18115242
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,68.09261297
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,39.77851451
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,39.77851451
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,12.51912179
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,19.18115242
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,68.09261297
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,39.77851451
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,39.77851451
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,6.036705648
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,6.67355928
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,38.80240652
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,45.1677499
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,24.87091409
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,38.80240652
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,45.1677499
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,24.87091409
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,38.80240652
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,45.1677499
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,24.87091409
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,16
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,15
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,15
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,11
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,3
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,4.6
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,4.9
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,5.2
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,14
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,21
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,2.605406716
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,9.054574186
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,10.09450474
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,17.4
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,10.6
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,17.4
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,6.1
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,7.5
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,23.5
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,8.6
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,42.2
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,50.8
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,11.20529403
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,6.67355928
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,2.910892288
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,4.773331466
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,4.147598106
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,2.910892288
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,6.67355928
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,4.773331466
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,13.17866334
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,15.83260114
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,2.301694759
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,2.301694759
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.700492404
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,2.301694759
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,4.773331466
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,4.147598106
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,3.526537942
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,4.773331466
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.700492404
