Sample_source,Seawater_freshwater,Seafood_type,Trophic_class,Wet_dry,Raw_cooked,MeHg_mean_ppb
Wild,Freshwater,Finfish,Herbivore,Wet,Raw,256.7576088
Wild,Freshwater,Finfish,Herbivore,Wet,Raw,52.03759808
Wild,Freshwater,Finfish,Herbivore,Wet,Raw,11.80875486
Wild,Freshwater,Finfish,Herbivore,Wet,Raw,10.81259594
Wild,Freshwater,Finfish,Herbivore,Wet,Raw,43.20411311
Wild,Freshwater,Finfish,Herbivore,Wet,Raw,52.56800146
Wild,Freshwater,Finfish,Herbivore,Wet,Raw,6.227426516
Wild,Freshwater,Finfish,Herbivore,Wet,Raw,7.313452166
Wild,Freshwater,Finfish,Herbivore,Wet,Raw,5.719506394
Wild,Freshwater,Finfish,Herbivore,Wet,Raw,7.057146646
Wild,Freshwater,Finfish,Herbivore,Wet,Raw,32.06758431
Wild,Seawater,Finfish,Herbivore,Wet,Raw,26.64602631
Wild,Seawater,Finfish,Herbivore,Wet,Raw,72.11100381
Wild,Seawater,Finfish,Herbivore,Wet,Raw,36.71488762
Wild,Seawater,Finfish,Herbivore,Wet,Raw,3
Wild,Seawater,Finfish,Herbivore,Wet,Raw,3
Wild,Seawater,Finfish,Herbivore,Wet,Raw,8.4
Wild,Seawater,Finfish,Herbivore,Wet,Raw,9.7
Wild,Seawater,Finfish,Herbivore,Wet,Raw,10.9
Wild,Seawater,Finfish,Herbivore,Wet,Raw,11.3
Wild,Seawater,Finfish,Herbivore,Wet,Raw,25.6
Wild,Seawater,Finfish,Herbivore,Wet,Raw,13.6
Wild,Seawater,Finfish,Herbivore,Wet,Raw,20.5
Wild,Seawater,Finfish,Herbivore,Wet,Raw,16.6
Wild,Seawater,Finfish,Herbivore,Wet,Raw,12.4
Wild,Seawater,Finfish,Herbivore,Wet,Raw,849.0974226
Wild,Seawater,Finfish,Herbivore,Wet,Raw,2999.858578
Wild,Seawater,Finfish,Herbivore,Wet,Raw,743.8406288
Wild,Seawater,Finfish,Herbivore,Wet,Raw,10.6
Wild,Seawater,Finfish,Herbivore,Wet,Raw,10.6
Wild,Seawater,Finfish,Herbivore,Wet,Raw,29.9
Wild,Seawater,Finfish,Herbivore,Wet,Raw,29.9
Wild,Seawater,Finfish,Herbivore,Wet,Raw,29.9
Wild,Seawater,Finfish,Herbivore,Wet,Raw,29.9
Wild,Seawater,Finfish,Herbivore,Wet,Raw,14.3
Wild,Seawater,Finfish,Herbivore,Wet,Raw,14.3
Wild,Seawater,Finfish,Herbivore,Wet,Raw,14.3
Wild,Seawater,Finfish,Herbivore,Wet,Raw,14.3
Wild,Seawater,Finfish,Herbivore,Wet,Raw,18.8
Wild,Seawater,Finfish,Herbivore,Wet,Raw,18.8
Wild,Seawater,Finfish,Herbivore,Wet,Raw,18.8
Wild,Seawater,Finfish,Herbivore,Wet,Raw,18.8
Wild,Seawater,Finfish,Herbivore,Wet,Raw,29.9
Wild,Seawater,Finfish,Herbivore,Wet,Raw,14.3
Wild,Seawater,Finfish,Herbivore,Wet,Raw,4.147598106
Wild,Seawater,Finfish,Herbivore,Wet,Raw,2.910892288
Wild,Seawater,Finfish,Herbivore,Wet,Raw,1.700492404
Wild,Seawater,Finfish,Herbivore,Wet,Raw,1.700492404
