thg_log10,mehg_log10,group
1.908485019,1.851258349,Dry_weight
1.86923172,1.672097858,Dry_weight
2.336459734,2.184691431,Dry_weight
1.851258349,1.612783857,Dry_weight
2.053078443,1.857332496,Dry_weight
1.633468456,1.505149978,Dry_weight
1.176091259,1.041392685,Dry_weight
2.620136055,2.245512668,Dry_weight
1.597695186,1.113943352,Dry_weight
1.975431809,1.860338007,Dry_weight
2.214843848,2.173186268,Dry_weight
2.025305865,1.932980822,Dry_weight
2.086359831,2,Dry_weight
2.229681842,2.157758886,Dry_weight
1.84509804,1.439332694,Dry_weight
2.017033339,1.596597096,Dry_weight
1.754348336,1.212187604,Dry_weight
1.667452953,1.152288344,Dry_weight
1.983175072,1.643452676,Dry_weight
1.862131379,1.096910013,Dry_weight
2.031004281,1.836324116,Dry_weight
2.116275588,1.962369336,Dry_weight
1.952792443,1.553883027,Dry_weight
2.03702788,1.587710965,Dry_weight
1.798650645,1.307496038,Dry_weight
1.938519725,1.5132176,Dry_weight
1.984077034,1.532754379,Dry_weight
2.003460532,1.301029996,Dry_weight
2.024485668,1.663700925,Dry_weight
1.960946196,1.700703717,Dry_weight
1.84509804,1.439332694,Dry_weight
2.017033339,1.596597096,Dry_weight
1.754348336,1.212187604,Dry_weight
1.667452953,1.152288344,Dry_weight
1.983175072,1.643452676,Dry_weight
1.862131379,1.096910013,Dry_weight
2.031004281,1.836324116,Dry_weight
2.116275588,1.962369336,Dry_weight
1.952792443,1.553883027,Dry_weight
2.03702788,1.587710965,Dry_weight
1.798650645,1.307496038,Dry_weight
1.938519725,1.5132176,Dry_weight
1.984077034,1.532754379,Dry_weight
2.003460532,1.301029996,Dry_weight
2.024485668,1.663700925,Dry_weight
1.960946196,1.700703717,Dry_weight
1.84509804,1.439332694,Dry_weight
2.017033339,1.596597096,Dry_weight
1.754348336,1.212187604,Dry_weight
1.667452953,1.152288344,Dry_weight
1.983175072,1.643452676,Dry_weight
1.862131379,1.096910013,Dry_weight
2.031004281,1.836324116,Dry_weight
2.116275588,1.962369336,Dry_weight
1.952792443,1.553883027,Dry_weight
2.03702788,1.587710965,Dry_weight
1.798650645,1.307496038,Dry_weight
1.938519725,1.5132176,Dry_weight
1.984077034,1.532754379,Dry_weight
2.003460532,1.301029996,Dry_weight
2.024485668,1.663700925,Dry_weight
1.960946196,1.700703717,Dry_weight
1.84509804,1.439332694,Dry_weight
2.017033339,1.596597096,Dry_weight
1.754348336,1.212187604,Dry_weight
1.667452953,1.152288344,Dry_weight
1.983175072,1.643452676,Dry_weight
1.862131379,1.096910013,Dry_weight
2.031004281,1.836324116,Dry_weight
2.116275588,1.962369336,Dry_weight
1.952792443,1.553883027,Dry_weight
2.03702788,1.587710965,Dry_weight
1.798650645,1.307496038,Dry_weight
1.938519725,1.5132176,Dry_weight
1.984077034,1.532754379,Dry_weight
2.003460532,1.301029996,Dry_weight
2.024485668,1.663700925,Dry_weight
1.960946196,1.700703717,Dry_weight
1.84509804,1.439332694,Dry_weight
2.017033339,1.596597096,Dry_weight
1.754348336,1.212187604,Dry_weight
1.667452953,1.152288344,Dry_weight
1.983175072,1.643452676,Dry_weight
1.862131379,1.096910013,Dry_weight
2.031004281,1.836324116,Dry_weight
2.116275588,1.962369336,Dry_weight
1.952792443,1.553883027,Dry_weight
2.03702788,1.587710965,Dry_weight
1.798650645,1.307496038,Dry_weight
1.938519725,1.5132176,Dry_weight
1.984077034,1.532754379,Dry_weight
2.003460532,1.301029996,Dry_weight
2.024485668,1.663700925,Dry_weight
1.960946196,1.700703717,Dry_weight
1.84509804,1.439332694,Dry_weight
2.017033339,1.596597096,Dry_weight
1.754348336,1.212187604,Dry_weight
1.667452953,1.152288344,Dry_weight
1.983175072,1.643452676,Dry_weight
1.862131379,1.096910013,Dry_weight
2.031004281,1.836324116,Dry_weight
2.116275588,1.962369336,Dry_weight
1.952792443,1.553883027,Dry_weight
2.03702788,1.587710965,Dry_weight
1.798650645,1.307496038,Dry_weight
1.938519725,1.5132176,Dry_weight
1.984077034,1.532754379,Dry_weight
2.003460532,1.301029996,Dry_weight
2.024485668,1.663700925,Dry_weight
1.960946196,1.700703717,Dry_weight
1.84509804,1.439332694,Dry_weight
2.017033339,1.596597096,Dry_weight
1.754348336,1.212187604,Dry_weight
1.667452953,1.152288344,Dry_weight
1.983175072,1.643452676,Dry_weight
1.862131379,1.096910013,Dry_weight
2.031004281,1.836324116,Dry_weight
2.116275588,1.962369336,Dry_weight
1.952792443,1.553883027,Dry_weight
2.03702788,1.587710965,Dry_weight
1.798650645,1.307496038,Dry_weight
1.938519725,1.5132176,Dry_weight
1.984077034,1.532754379,Dry_weight
2.003460532,1.301029996,Dry_weight
2.024485668,1.663700925,Dry_weight
1.960946196,1.700703717,Dry_weight
1.84509804,1.439332694,Dry_weight
2.017033339,1.596597096,Dry_weight
1.754348336,1.212187604,Dry_weight
1.667452953,1.152288344,Dry_weight
1.983175072,1.643452676,Dry_weight
1.862131379,1.096910013,Dry_weight
2.031004281,1.836324116,Dry_weight
2.116275588,1.962369336,Dry_weight
1.952792443,1.553883027,Dry_weight
2.03702788,1.587710965,Dry_weight
1.798650645,1.307496038,Dry_weight
1.938519725,1.5132176,Dry_weight
1.984077034,1.532754379,Dry_weight
2.003460532,1.301029996,Dry_weight
2.024485668,1.663700925,Dry_weight
1.960946196,1.700703717,Dry_weight
1.84509804,1.439332694,Dry_weight
2.017033339,1.596597096,Dry_weight
1.754348336,1.212187604,Dry_weight
1.667452953,1.152288344,Dry_weight
1.983175072,1.643452676,Dry_weight
1.862131379,1.096910013,Dry_weight
2.031004281,1.836324116,Dry_weight
2.116275588,1.962369336,Dry_weight
1.952792443,1.553883027,Dry_weight
2.03702788,1.587710965,Dry_weight
1.798650645,1.307496038,Dry_weight
1.938519725,1.5132176,Dry_weight
1.984077034,1.532754379,Dry_weight
2.003460532,1.301029996,Dry_weight
2.024485668,1.663700925,Dry_weight
1.960946196,1.700703717,Dry_weight
1.883661435,1.621176282,Dry_weight
1.778874472,1.655138435,Dry_weight
1.705007959,1.5289167,Dry_weight
1.677606953,1.389166084,Dry_weight
2.087426457,1.673020907,Dry_weight
1.950851459,1.890979597,Dry_weight
2.228656958,1.915399835,Dry_weight
1.445604203,1.342422681,Dry_weight
1.752816431,1.662757832,Dry_weight
1.572871602,1.397940009,Dry_weight
1.896526217,1.551449998,Dry_weight
1.688419822,1.462397998,Dry_weight
1.660865478,1.079181246,Dry_weight
2.08278537,1.568201724,Dry_weight
2.037426498,1.915399835,Dry_weight
1.880241776,1.589949601,Dry_weight
1.871572936,1.696356389,Dry_weight
1.471291711,1.303196057,Dry_weight
1.434568904,1.193124598,Dry_weight
1.72916479,1.474216264,Dry_weight
