thg_log10,mehg_log10,group
2.247973266,2.23299611,Wet_weight
2.886490725,2.819543936,Wet_weight
2.045322979,1.836324116,Wet_weight
1.945468585,1.787460475,Wet_weight
2.071882007,1.677606953,Wet_weight
2.322219295,1.615950052,Wet_weight
1.783188691,1.389166084,Wet_weight
1.702430536,1.496929648,Wet_weight
2.089905111,1.913813852,Wet_weight
2.096910013,1.595496222,Wet_weight
1.678518379,1.503790683,Wet_weight
2.10720997,1.736396502,Wet_weight
2.28780173,2.187520721,Wet_weight
0.602059991,0.477121255,Wet_weight
2.130333768,2.096910013,Wet_weight
1.342422681,1.340047318,Wet_weight
1.176091259,1.150142162,Wet_weight
1.716003344,0.385606274,Wet_weight
0.903089987,0.004321374,Wet_weight
2.017033339,0.595496222,Wet_weight
1.69019608,1.614897216,Wet_weight
1.936513742,1.868056362,Wet_weight
1.544068044,1.462397998,Wet_weight
1.936010796,1.867467488,Wet_weight
1.414973348,1.326335861,Wet_weight
0.86923172,0.698970004,Wet_weight
1.641474111,1.564666064,Wet_weight
0.73239376,0.505149978,Wet_weight
1.7930916,1.720985744,Wet_weight
2.64738297,2.451786436,Wet_weight
2.968015714,2.800029359,Wet_weight
1.271841607,1.243038049,Wet_weight
1.33243846,1.342422681,Wet_weight
1.530199698,1.519827994,Wet_weight
1.012837225,0.986771734,Wet_weight
1.498310554,1.498310554,Wet_weight
1.574031268,1.562292864,Wet_weight
1.359835482,1.283301229,Wet_weight
1.357934847,1.290034611,Wet_weight
1.423245874,1.40654018,Wet_weight
1.064457989,1.053078443,Wet_weight
0.977723605,0.968482949,Wet_weight
1.72427587,1.701567985,Wet_weight
1.348304863,1.330413773,Wet_weight
1.59439255,1.571708832,Wet_weight
1.130333768,1.103803721,Wet_weight
1.517195898,1.456366033,Wet_weight
1.615950052,1.5774918,Wet_weight
1.689308859,1.69019608,Wet_weight
1.424881637,1.408239965,Wet_weight
1.579783597,1.536558443,Wet_weight
1.615950052,1.600972896,Wet_weight
1.88536122,1.872738827,Wet_weight
1.212187604,1.133538908,Wet_weight
1.437750563,1.356025857,Wet_weight
1.691081492,1.682145076,Wet_weight
1.495544338,1.46834733,Wet_weight
1.255272505,1.220108088,Wet_weight
1.127104798,1.093421685,Wet_weight
2.104145551,2.07809415,Wet_weight
1.367355921,1.348304863,Wet_weight
1.161368002,1.149219113,Wet_weight
1.489958479,1.45484486,Wet_weight
1.199480915,1.107965934,Wet_weight
1.573567773,1.145276605,Wet_weight
1.907411361,1.786751422,Wet_weight
1.855519156,1.717670503,Wet_weight
2.132579848,1.984527313,Wet_weight
1.854913022,1.648360011,Wet_weight
1.421603927,1.301029996,Wet_weight
1.748962861,1.653212514,Wet_weight
1.562292864,1.330413773,Wet_weight
1.582063363,1.459392488,Wet_weight
1.394451681,1.274157849,Wet_weight
1.209515015,1.025305865,Wet_weight
1.782472624,1.663700925,Wet_weight
1.814913181,1.718501689,Wet_weight
1.907411361,1.786751422,Wet_weight
1.855519156,1.717670503,Wet_weight
2.132579848,1.984527313,Wet_weight
1.854913022,1.648360011,Wet_weight
1.421603927,1.301029996,Wet_weight
1.748962861,1.653212514,Wet_weight
1.562292864,1.330413773,Wet_weight
1.582063363,1.459392488,Wet_weight
1.394451681,1.274157849,Wet_weight
1.209515015,1.025305865,Wet_weight
1.782472624,1.663700925,Wet_weight
1.814913181,1.718501689,Wet_weight
2.245512668,2.071198376,Wet_weight
1.225309282,0.744612131,Wet_weight
1.338456494,1.209912668,Wet_weight
1.403120521,1.171610626,Wet_weight
1.071882007,0.82790922,Wet_weight
1.57863921,1.504466785,Wet_weight
1.004321374,0.706838071,Wet_weight
0.936513742,0.205091714,Wet_weight
0.953276337,0.293720452,Wet_weight
0.727541257,0.364930907,Wet_weight
1.164352856,1.000676971,Wet_weight
0.881384657,0.531011544,Wet_weight
0.133538908,-0.347158242,Wet_weight
1.029383778,0.698700658,Wet_weight
1.472756449,1.31160554,Wet_weight
1.683047038,1.495960395,Wet_weight
1.056904851,0.789298611,Wet_weight
1.695481676,1.50166165,Wet_weight
1.752816431,1.616139291,Wet_weight
1.1430148,0.88337749,Wet_weight
0.996073654,0.487435348,Wet_weight
1.071882007,0.878061981,Wet_weight
0.761927838,0.42468567,Wet_weight
0.971275849,0.816373889,Wet_weight
1.602059991,1.408239965,Wet_weight
0.939519253,0.84260924,Wet_weight
2.812913357,2.799340549,Wet_weight
2.633468456,2.579783597,Wet_weight
2.342422681,2.322219295,Wet_weight
1.86332286,1.880813592,Wet_weight
1.740362689,1.707570176,Wet_weight
1.491361694,1.414973348,Wet_weight
1.230448921,1.204119983,Wet_weight
1.113943352,1.204119983,Wet_weight
1.204119983,1.041392685,Wet_weight
1.204119983,0.748188027,Wet_weight
1.079181246,0.77815125,Wet_weight
0.924279286,0.322219295,Wet_weight
0.832508913,0.591064607,Wet_weight
1.431363764,1.278753601,Wet_weight
1.86332286,1.880813592,Wet_weight
1.740362689,1.707570176,Wet_weight
1.491361694,1.414973348,Wet_weight
1.763427994,1.763427994,Wet_weight
1.602059991,1.544068044,Wet_weight
1.681241237,1.653212514,Wet_weight
2.093421685,2.025305865,Wet_weight
2.079181246,2.004321374,Wet_weight
2.257678575,2.235528447,Wet_weight
2.017033339,1.963787827,Wet_weight
2,1.954242509,Wet_weight
2.243038049,2.220108088,Wet_weight
1.041392685,0.785329835,Wet_weight
0.934498451,0.716003344,Wet_weight
1.301029996,1.146128036,Wet_weight
1.556302501,1.322219295,Wet_weight
1.117271296,0.908485019,Wet_weight
1.004321374,0.934498451,Wet_weight
1.661812686,1.606381365,Wet_weight
1.648360011,1.625312451,Wet_weight
1.905256049,1.847572659,Wet_weight
1.401400541,1.383815366,Wet_weight
1.638489257,1.540329475,Wet_weight
1.905256049,1.778874472,Wet_weight
2.08278537,2,Wet_weight
2.021189299,2.021189299,Wet_weight
1.894869657,0.968949681,Wet_weight
1.858537198,1.557507202,Wet_weight
1.927370363,0.992995098,Wet_weight
2.173186268,1.85308953,Wet_weight
1.571708832,1.33243846,Wet_weight
1.615950052,1.434568904,Wet_weight
1.885134966,1.452093249,Wet_weight
1.657438323,1.412964272,Wet_weight
1.66143405,1.224014811,Wet_weight
1.796227314,1.372359583,Wet_weight
1.742568034,1.387389826,Wet_weight
1.447623098,0.854913022,Wet_weight
1.34869419,0.775974331,Wet_weight
0.757396029,0.227886705,Wet_weight
1.885134966,1.452093249,Wet_weight
1.657438323,1.412964272,Wet_weight
1.66143405,1.224014811,Wet_weight
1.796227314,1.372359583,Wet_weight
1.742568034,1.387389826,Wet_weight
1.447623098,0.854913022,Wet_weight
1.34869419,0.775974331,Wet_weight
0.757396029,0.227886705,Wet_weight
1.885134966,1.452093249,Wet_weight
1.657438323,1.412964272,Wet_weight
1.66143405,1.224014811,Wet_weight
1.796227314,1.372359583,Wet_weight
1.742568034,1.387389826,Wet_weight
1.447623098,0.854913022,Wet_weight
1.34869419,0.775974331,Wet_weight
0.757396029,0.227886705,Wet_weight
1.885134966,1.452093249,Wet_weight
1.657438323,1.412964272,Wet_weight
1.66143405,1.224014811,Wet_weight
1.796227314,1.372359583,Wet_weight
1.742568034,1.387389826,Wet_weight
1.447623098,0.854913022,Wet_weight
1.34869419,0.775974331,Wet_weight
0.757396029,0.227886705,Wet_weight
1.329601248,1.017867719,Wet_weight
1.495960395,1.204662512,Wet_weight
0.934498451,0.763427994,Wet_weight
1.209515015,0.812913357,Wet_weight
0.777426822,0.72916479,Wet_weight
0.705863712,0.606381365,Wet_weight
