Collection_year,Region,Water_body,Sample_source,Seawater_freshwater,Seafood_type,Trophic_class,Trophic_level,log_weight,Wet_dry,Raw_cooked,log_mean_mehg,Precipitation_yearsum_mm,Ten_metre_wind_speed,Potential_evaporation_m,Surface_net_downward_shortwave_flux,log_hg_em_lag2,log_co2_em,log_ch4_em,Two_m_temperature_yearmax_runmean_K
2017,Central_China,Lake,Wild,Freshwater,Finfish,Omnivore,2.9,2.6376134,Wet,Raw,1.698796252,1360.863559,2.52483511,-0.003023922,11971345,2.634812008,5.490514695,3.669902347,307.8125
2017,Central_China,Lake,Wild,Freshwater,Finfish,Omnivore,2,2.655435574,Wet,Raw,0.802089258,1360.863559,2.52483511,-0.003023922,11971345,2.634812008,5.490514695,3.669902347,307.8125
2017,Central_China,Lake,Wild,Freshwater,Finfish,Carnivore,4.4,2.474355213,Wet,Raw,1.651859269,1360.863559,2.52483511,-0.003023922,11971345,2.634812008,5.490514695,3.669902347,307.8125
2017,Central_China,Lake,Wild,Freshwater,Finfish,Carnivore,2.8,3.165768439,Wet,Raw,1.415474168,1360.863559,2.52483511,-0.003023922,11971345,2.634812008,5.490514695,3.669902347,307.8125
2017,Central_China,Lake,Wild,Freshwater,Finfish,Carnivore,3.5,1.608875406,Wet,Raw,1.15075644,1360.863559,2.52483511,-0.003023922,11971345,2.634812008,5.490514695,3.669902347,307.8125
2017,Central_China,Lake,Wild,Freshwater,Finfish,Carnivore,3.3,2.302856501,Wet,Raw,1.147367108,1360.863559,2.52483511,-0.003023922,11971345,2.634812008,5.490514695,3.669902347,307.8125
2017,Central_China,Lake,Wild,Freshwater,Finfish,Omnivore,2,2.755835891,Wet,Raw,1.18610838,1360.863559,2.52483511,-0.003023922,11971345,2.634812008,5.490514695,3.669902347,307.8125
2017,Central_China,Lake,Wild,Freshwater,Finfish,Omnivore,2,1.973864403,Wet,Raw,0.942008053,1360.863559,2.52483511,-0.003023922,11971345,2.634812008,5.490514695,3.669902347,307.8125
2017,Central_China,Lake,Wild,Freshwater,Finfish,Carnivore,3.2,1.400330882,Wet,Raw,1.079181246,1360.863559,2.52483511,-0.003023922,11971345,2.634812008,5.490514695,3.669902347,307.8125
2008,East_China,River,Wild,Freshwater,Finfish,Omnivore,2.5,2.679427897,Dry,Raw,1.7046,634.0068765,2.706622124,-0.003694295,13172003,2.670956351,5.683959157,3.223757195,304.5636902
2008,East_China,River,Wild,Freshwater,Finfish,Omnivore,2.5,2.679427897,Dry,Raw,1.075367718,634.0068765,2.706622124,-0.003694295,13172003,2.670956351,5.683959157,3.223757195,304.5636902
2008,East_China,River,Wild,Freshwater,Finfish,Omnivore,2,2.646403726,Dry,Raw,2.632243311,634.0068765,2.706622124,-0.003694295,13172003,2.670956351,5.683959157,3.223757195,304.5636902
2008,East_China,River,Wild,Freshwater,Finfish,Omnivore,2,2.646403726,Dry,Raw,1.754411957,634.0068765,2.706622124,-0.003694295,13172003,2.670956351,5.683959157,3.223757195,304.5636902
