zone,province
North_China,Beijing
North_China,Tianjin
North_China,Hebei
North_China,Shanxi
North_China,Inner_Mongolia
Northeast_China,Liaoning
Northeast_China,Jilin
Northeast_China,Heilongjiang
East_China,Shanghai
East_China,Jiangsu
East_China,Zhejiang
East_China,Anhui
East_China,Fujian
East_China,Jiangxi
East_China,Shandong
Central_China,Henan
Central_China,Hubei
Central_China,Hunan
South_China,Guangdong
South_China,Guangxi
South_China,Hainan
Southwest_China,Chongqing
Southwest_China,Sichuan
Southwest_China,Guizhou
Southwest_China,Yunnan
Southwest_China,Tibet
Northwest_China,Shaanxi
Northwest_China,Gansu
Northwest_China,Qinghai
Northwest_China,Ningxia
Northwest_China,Xinjiang
