"province","newborns_near_future_ssp245","delta_IQ_ssp2_near","newborns_near_future_ssp585","delta_IQ_ssp5_near","adcode"
"Anhui",638243.1,5.95773710433399e-05,459767.7,8.56442040950782e-05,340000
"Beijing",93375.36667,6.34387405188509e-05,87789.23333,3.39826092924163e-05,110000
"Chongqing",233566.8333,0.000303226412144932,176773.1667,0.00017350430223868,500000
"Fujian",296371.3333,0.000470148499878601,245548.8,0.000319813648803447,350000
"Gansu",242330.1333,0.000129889258202023,162260.8333,9.29846121550309e-05,620000
"Guangdong",951233.2667,0.000182428608386632,824942.0333,0.000112932711142019,440000
"Guangxi",724941.9,0.00012776014425439,541271.3333,0.000138177954960487,450000
"Guizhou",643860.9333,7.16746237752032e-05,386494.0667,0.000108690563118658,520000
"Hainan",125226.8333,0.000261838833742817,91177.33333,0.000291910248548649,460000
"Hebei",769040.9333,0.000176628935068721,562363,0.000162979504670556,130000
"Heilongjiang",153973.9,6.94139832915463e-05,118745.0333,2.84682989359317e-05,230000
"Henan",1125039.767,4.66610291923792e-05,865650.7333,5.17376678057328e-05,410000
"Hubei",527965.6333,0.000473414683703079,414224.7667,0.000383732469405915,420000
"Hunan",693266.8667,0.000197860427607422,525754.4667,0.000174395686605786,430000
"Inner_Mongolia",189096.6333,0.000199277604199921,148021.4,0.000151832870399244,150000
"Jiangsu",556942.9667,8.13907423322132e-05,466892.7333,5.23968186302652e-05,320000
"Jiangxi",491037.7333,0.000251575767481229,388664.9333,0.000245526610217731,360000
"Jilin",104373.9667,0.00017707245023558,78928.2,5.16961598778322e-05,220000
"Liaoning",172492.8333,0.000360976980055068,148093.9333,0.000157012440354192,210000
"Ningxia",79401.06667,0.000132878335700558,59376.16667,0.000112559992233352,640000
"Qinghai",52256.06667,0.000420984035237921,38920.3,0.000343135683666064,630000
"Shaanxi",261061.9333,0.000113866997119423,210638,7.21201338165659e-05,610000
"Shandong",733629.6,6.42194867156006e-07,603277.3667,-5.30207514707867e-06,370000
"Shanghai",94537.86667,0.000526411685383058,89880.13333,0.000203569683805411,310000
"Shanxi",302428.4,5.58610797413945e-05,239827.8667,3.96903583001773e-05,140000
"Sichuan",549263.6,0.000606681610466869,409759.5333,0.000317439041671519,510000
"Tianjin",89401.13333,1.71244931334217e-05,96053.3,1.80633908187021e-05,120000
"Tibet",20292.6,0.000162357257637844,16164.23333,0.000165261196136179,540000
"Xinjiang",382054.8667,0.000286760929961775,273496.3,0.000436683804162508,650000
"Yunnan",536415.1,0.000118322999687947,337364.0667,8.84594473945261e-05,530000
"Zhejiang",363891.7333,0.000688579974593102,323580.0333,0.000409191512364859,330000
